Date,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
2012-12-31,41.92,,,,,hold,hold,hold
2013-01-02,44.16,,,,,hold,hold,hold
2013-01-03,43.91,,,,,hold,hold,hold
2013-01-04,44.12,,,,,hold,hold,hold
2013-01-07,45.12,,,,43.846,hold,hold,hold
2013-01-08,44.72,,,,44.406,hold,hold,hold
2013-01-09,44.33,,,,44.44,hold,hold,hold
2013-01-10,43.49,,,,44.356,hold,hold,hold
2013-01-11,43.98,,,,44.328,hold,hold,hold
2013-01-14,44.15,,,,44.134,hold,hold,hold
2013-01-15,44.15,,,,44.02,hold,hold,hold
2013-01-16,43.97,,,,43.948,hold,hold,hold
2013-01-17,44.09,,,,44.068,hold,hold,hold
2013-01-18,43.68,,,,44.008,hold,hold,hold
2013-01-22,44.32,,,,44.042,hold,hold,hold
2013-01-23,44.84,,,,44.18,hold,hold,hold
2013-01-24,44.82,,,,44.35,hold,hold,hold
2013-01-25,45.96,,,,44.724,hold,hold,hold
2013-01-28,46.5,,,,45.288,hold,hold,hold
2013-01-29,45.9,,,44.4065,45.604,hold,hold,buy
2013-01-30,45.52,,,44.5865,45.74,hold,hold,buy
2013-01-31,46.28,,,44.6925,46.032,hold,hold,buy
2013-02-01,46.3,,,44.812,46.1,hold,hold,buy
2013-02-04,45.64,,,44.888,45.928,hold,hold,buy
2013-02-05,46.84,,,44.974,46.116,hold,hold,buy
2013-02-06,47.0,,,45.088,46.412,hold,hold,buy
2013-02-07,46.85,,,45.214,46.526,hold,hold,buy
2013-02-08,47.02,,,45.3905,46.67,hold,hold,buy
2013-02-11,46.23,,,45.503,46.788,hold,hold,buy
2013-02-12,46.66,,,45.6285,46.752,hold,hold,buy
2013-02-13,46.9,,,45.766,46.732,hold,hold,buy
2013-02-14,43.55,,,45.745,46.072,hold,hold,hold
2013-02-15,44.42,,,45.7615,45.552,hold,hold,sell
2013-02-19,43.52,,,45.7535,45.01,hold,hold,sell
2013-02-20,42.76,,,45.6755,44.23,hold,hold,sell
2013-02-21,42.94,,,45.5805,43.438,hold,hold,sell
2013-02-22,43.85,,,45.532,43.498,hold,hold,sell
2013-02-25,43.64,,,45.416,43.342,hold,hold,sell
2013-02-26,43.73,,,45.2775,43.384,hold,hold,sell
2013-02-27,45.27,,,45.246,43.886,hold,hold,hold
2013-02-28,45.54,,,45.247,44.406,hold,hold,hold
2013-03-01,45.62,,,45.214,44.76,hold,hold,hold
2013-03-04,45.51,,,45.1745,45.134,hold,hold,hold
2013-03-05,47.68,,,45.2765,45.924,hold,hold,buy
2013-03-06,48.63,,,45.366,46.596,hold,hold,buy
2013-03-07,50.59,,,45.5455,47.606,hold,hold,buy
2013-03-08,51.03,,,45.7545,48.688,hold,hold,buy
2013-03-11,51.4,,,45.9735,49.866,hold,hold,buy
2013-03-12,51.15,,,46.2195,50.56,hold,hold,buy
2013-03-13,52.39,,45.6518,46.506,51.312,hold,buy,buy
2013-03-14,52.59,,45.8652,46.7905,51.712,hold,buy,buy
2013-03-15,52.4,,46.03,47.233,51.986,hold,buy,buy
2013-03-18,52.43,,46.2004,47.6335,52.192,hold,buy,buy
2013-03-19,52.3,,46.364,48.0725,52.422,hold,buy,buy
2013-03-20,53.24,,46.5264,48.5965,52.592,hold,buy,buy
2013-03-21,51.75,,46.667,49.037,52.424,hold,buy,buy
2013-03-22,52.5,,46.8304,49.4695,52.444,hold,buy,buy
2013-03-25,52.24,,47.0054,49.8995,52.406,hold,buy,buy
2013-03-26,52.44,,47.1746,50.335,52.434,hold,buy,buy
2013-03-27,52.2,,47.3356,50.6815,52.226,hold,buy,buy
2013-03-28,52.52,,47.503,51.0305,52.38,hold,buy,buy
2013-04-01,51.7,,47.6576,51.3345,52.22,hold,buy,buy
2013-04-02,50.51,,47.786,51.5845,51.874,hold,buy,hold
2013-04-03,49.11,,47.8946,51.656,51.208,hold,buy,sell
2013-04-04,49.52,,47.9986,51.7005,50.672,hold,buy,sell
2013-04-05,48.88,,48.0794,51.615,49.944,hold,buy,sell
2013-04-08,48.68,,48.1566,51.4975,49.34,hold,buy,sell
2013-04-09,48.29,,48.2032,51.342,48.896,hold,buy,sell
2013-04-10,50.07,,48.2746,51.288,49.088,hold,buy,sell
2013-04-11,51.89,,48.3944,51.263,49.562,hold,buy,hold
2013-04-12,52.49,,48.5338,51.258,50.284,hold,buy,hold
2013-04-15,51.56,,48.6394,51.216,50.86,hold,buy,hold
2013-04-16,52.94,,48.7722,51.2415,51.79,hold,buy,buy
2013-04-17,52.17,,48.9028,51.235,52.21,hold,buy,buy
2013-04-18,51.35,,48.993,51.1405,52.102,hold,buy,buy
2013-04-19,51.09,,49.0748,51.1075,51.822,hold,buy,hold
2013-04-22,51.09,,49.1596,51.037,51.728,hold,buy,buy
2013-04-23,52.3,,49.2652,51.04,51.6,hold,buy,buy
2013-04-24,51.34,,49.3674,50.985,51.434,hold,buy,buy
2013-04-25,53.01,,49.4944,51.0255,51.766,hold,buy,buy
2013-04-26,53.72,,49.6308,51.0855,52.292,hold,buy,buy
2013-04-29,53.07,,49.8212,51.154,52.688,hold,buy,buy
2013-04-30,52.58,,49.9844,51.2575,52.744,hold,buy,buy
2013-05-01,52.11,,50.1562,51.4075,52.898,hold,buy,buy
2013-05-02,53.51,,50.3712,51.607,52.998,hold,buy,buy
2013-05-03,55.3,,50.6184,51.928,53.314,hold,buy,buy
2013-05-06,55.17,,50.8448,52.2525,53.734,hold,buy,buy
2013-05-07,55.01,,51.0722,52.5885,54.22,hold,buy,buy
2013-05-08,52.49,,51.2474,52.7095,54.296,hold,buy,hold
2013-05-09,51.99,,51.3818,52.7145,53.992,hold,buy,hold
2013-05-10,53.84,,51.5478,52.782,53.7,hold,buy,buy
2013-05-13,54.79,,51.7312,52.9435,53.624,hold,buy,buy
2013-05-14,58.01,,51.9812,53.197,54.224,hold,buy,buy
2013-05-15,59.36,,52.2148,53.5565,55.598,hold,buy,buy
2013-05-16,59.03,,52.4228,53.9405,57.006,hold,buy,buy
2013-05-17,59.88,,52.6086,54.38,58.214,hold,buy,buy
2013-05-20,62.63,,52.8406,54.957,59.782,hold,buy,buy
2013-05-21,62.34,,53.0594,55.459,60.648,hold,buy,buy
2013-05-22,61.51,,53.2666,55.9675,61.078,hold,buy,buy
2013-05-23,62.06,,53.46,56.42,61.684,hold,buy,buy
2013-05-24,61.69,,53.642,56.8185,62.046,hold,buy,buy
2013-05-28,64.3,,53.88,57.38,62.38,hold,buy,buy
2013-05-29,63.56,,54.1026,57.929,62.624,hold,buy,buy
2013-05-30,63.99,,54.3364,58.523,63.12,hold,buy,buy
2013-05-31,64.49,,54.5614,59.072,63.606,hold,buy,buy
2013-06-03,62.06,,54.7676,59.41,63.68,hold,buy,buy
2013-06-04,62.19,,54.9614,59.761,63.258,hold,buy,buy
2013-06-05,61.52,,55.147,60.0865,62.85,hold,buy,buy
2013-06-06,62.03,,55.3388,60.5635,62.458,hold,buy,buy
2013-06-07,64.05,,55.5758,61.1665,62.37,hold,buy,buy
2013-06-10,64.31,,55.8116,61.69,62.82,hold,buy,buy
2013-06-11,63.86,,56.0548,62.1435,63.154,hold,buy,buy
2013-06-12,63.18,,56.3082,62.402,63.486,hold,buy,buy
2013-06-13,64.51,,56.6162,62.6595,63.982,hold,buy,buy
2013-06-14,63.75,,56.9008,62.8955,63.922,hold,buy,buy
2013-06-17,64.36,,57.2104,63.1195,63.932,hold,buy,buy
2013-06-18,63.85,,57.5138,63.1805,63.93,hold,buy,buy
2013-06-19,63.77,,57.8234,63.252,64.048,hold,buy,buy
2013-06-20,61.52,,58.0524,63.2525,63.45,hold,buy,hold
2013-06-21,60.28,,58.2202,63.1635,62.756,hold,buy,sell
2013-06-24,60.68,,58.384,63.113,62.02,hold,buy,sell
2013-06-25,61.53,,58.5834,62.9745,61.556,hold,buy,sell
2013-06-26,61.91,,58.7628,62.892,61.184,hold,buy,sell
2013-06-27,60.84,,58.9362,62.7345,61.048,hold,buy,sell
2013-06-28,60.87,,59.1266,62.5535,61.166,hold,buy,sell
2013-07-01,61.07,,59.3262,62.504,61.244,hold,buy,sell
2013-07-02,60.23,,59.509,62.406,60.984,hold,buy,sell
2013-07-03,60.79,,59.6788,62.3695,60.76,hold,buy,sell
2013-07-05,61.7,,59.886,62.353,60.932,hold,buy,sell
2013-07-08,63.16,,60.089,62.3085,61.39,hold,buy,hold
2013-07-09,62.74,,60.2694,62.23,61.724,hold,buy,hold
2013-07-10,61.93,,60.4466,62.1335,62.064,hold,buy,sell
2013-07-11,60.44,,60.6038,61.9965,61.994,hold,hold,sell
2013-07-12,61.05,,60.7826,61.8235,61.864,hold,buy,hold
2013-07-15,60.45,,60.9214,61.6585,61.322,hold,hold,sell
2013-07-16,60.62,,61.0278,61.4715,60.898,hold,hold,sell
2013-07-17,61.09,,61.1462,61.3335,60.73,hold,hold,sell
2013-07-18,62.27,,61.2914,61.2585,61.096,hold,hold,hold
2013-07-19,60.62,,61.454,61.2135,61.01,hold,sell,sell
2013-07-22,60.65,,61.6272,61.232,61.05,hold,sell,sell
2013-07-23,60.66,,61.7636,61.231,61.058,hold,sell,sell
2013-07-24,61.14,,61.8906,61.2115,61.068,hold,sell,sell
2013-07-25,71.1,,62.1524,61.671,62.834,hold,hold,buy
2013-07-26,73.95,,62.4442,62.3265,65.5,hold,hold,buy
2013-07-29,73.29,,62.7294,62.9475,68.028,hold,buy,buy
2013-07-30,73.27,,62.9972,63.5575,70.55,hold,buy,buy
2013-07-31,75.02,,63.245,64.297,73.326,hold,buy,buy
2013-08-01,75.89,,63.516,65.052,74.284,hold,buy,buy
2013-08-02,75.79,,63.8016,65.7565,74.652,hold,buy,buy
2013-08-05,78.01,,64.1206,66.499,75.596,hold,buy,buy
2013-08-06,79.28,,64.4724,67.326,76.798,hold,buy,buy
2013-08-07,77.99,,64.7462,68.129,77.392,hold,buy,buy
2013-08-08,79.71,,65.0692,69.0925,78.156,hold,buy,buy
2013-08-09,80.94,,65.4082,70.087,79.186,hold,buy,buy
2013-08-12,81.26,,65.7436,71.1275,79.836,hold,buy,buy
2013-08-13,80.96,,66.1216,72.1445,80.172,hold,buy,buy
2013-08-14,73.55,,66.3488,72.7675,79.284,hold,buy,buy
2013-08-15,70.52,,66.5288,73.18,77.446,hold,buy,hold
2013-08-16,70.99,,66.708,73.6985,75.456,hold,buy,hold
2013-08-19,69.26,,66.8122,74.129,73.056,hold,buy,sell
2013-08-20,69.81,,66.9222,74.5865,70.826,hold,buy,sell
2013-08-21,70.2,,67.049,75.0395,70.156,hold,buy,sell
2013-08-22,71.21,,67.2096,75.045,70.294,hold,buy,sell
2013-08-23,71.87,,67.3568,74.941,70.47,hold,buy,sell
2013-08-26,72.25,,67.5268,74.889,71.068,hold,buy,sell
2013-08-27,71.08,,67.6612,74.7795,71.322,hold,buy,sell
2013-08-28,72.52,,67.8346,74.6545,71.786,hold,buy,sell
2013-08-29,74.18,,68.0428,74.569,72.38,hold,buy,sell
2013-08-30,73.97,,68.2918,74.478,72.8,hold,buy,sell
2013-09-03,73.82,,68.5626,74.2685,73.114,hold,buy,sell
2013-09-04,74.74,,68.8438,74.0415,73.846,hold,buy,hold
2013-09-05,74.67,,69.1066,73.8755,74.276,hold,buy,buy
2013-09-06,74.11,,69.3506,73.5955,74.262,hold,buy,buy
2013-09-09,74.5,,69.6238,73.2735,74.368,hold,buy,buy
2013-09-10,72.62,,69.8588,72.8415,74.128,hold,buy,hold
2013-09-11,73.79,,70.1132,72.483,73.938,hold,buy,buy
2013-09-12,74.49,,70.3984,72.53,73.902,hold,buy,buy
2013-09-13,72.82,,70.639,72.645,73.644,hold,buy,buy
2013-09-16,72.6,,70.857,72.7255,73.264,hold,buy,hold
2013-09-17,72.93,,71.0524,72.909,73.326,hold,buy,buy
2013-09-18,73.92,,71.276,73.1145,73.352,hold,buy,buy
2013-09-19,74.27,,71.5228,73.318,73.308,hold,buy,hold
2013-09-20,75.12,,71.8164,73.5135,73.768,hold,buy,buy
2013-09-23,74.3,,72.0814,73.635,74.108,hold,buy,buy
2013-09-24,75.3,,72.3784,73.7875,74.582,hold,buy,buy
2013-09-25,74.78,,72.6616,73.9725,74.754,hold,buy,buy
2013-09-26,75.3,,72.9458,74.1115,74.96,hold,buy,buy
2013-09-27,75.85,,73.2174,74.195,75.106,hold,buy,buy
2013-09-30,75.84,,73.5218,74.2885,75.414,hold,buy,buy
2013-10-01,78.5,,73.8788,74.5225,76.054,hold,buy,buy
2013-10-02,79.66,,74.2588,74.7685,77.03,hold,buy,buy
2013-10-03,78.66,,74.6092,74.968,77.702,hold,buy,buy
2013-10-04,78.41,,74.7554,75.183,78.214,hold,buy,buy
2013-10-07,75.85,,74.7934,75.2505,78.216,hold,buy,buy
2013-10-08,71.7,,74.7616,75.2045,76.856,hold,hold,hold
2013-10-09,70.67,,74.7096,75.0485,75.058,hold,hold,hold
2013-10-10,72.27,,74.6546,74.9375,73.78,hold,hold,sell
2013-10-11,74.01,,74.617,74.997,72.9,hold,hold,sell
2013-10-14,75.01,,74.6014,75.1175,72.732,hold,buy,sell
2013-10-15,73.87,59.43775,74.5186,75.1645,73.166,buy,hold,sell
2013-10-16,75.0,59.60315,74.433,75.2185,74.032,buy,buy,sell
2013-10-17,72.74,59.74605,74.328,75.142,74.126,buy,hold,sell
2013-10-18,71.87,59.88585,74.1712,74.9795,73.698,buy,hold,sell
2013-10-21,74.11,60.0358,74.0346,74.97,73.518,buy,buy,sell
2013-10-22,75.5,60.1877,73.9194,74.98,73.844,buy,buy,hold
2013-10-23,75.21,60.34015,73.8044,75.0015,73.886,buy,buy,hold
2013-10-24,74.85,60.49275,73.8304,74.979,74.308,buy,buy,sell
2013-10-25,76.98,60.6602,73.9596,75.0355,75.33,buy,buy,buy
2013-10-28,77.79,60.82925,74.0956,75.133,76.066,buy,buy,buy
2013-10-29,82.26,61.0198,74.3556,75.321,77.418,buy,buy,buy
2013-10-30,80.22,61.20015,74.5638,75.349,78.42,buy,buy,buy
2013-10-31,82.72,61.3939,74.8142,75.552,79.994,buy,buy,buy
2013-11-01,83.38,61.59035,75.0576,75.8005,81.274,buy,buy,buy
2013-11-04,88.22,61.81305,75.3846,76.419,83.36,buy,buy,buy
2013-11-05,88.07,62.0318,75.701,77.2375,84.522,buy,buy,buy
2013-11-06,86.61,62.24065,76.0116,78.0345,85.8,buy,buy,buy
2013-11-07,83.88,62.43595,76.2388,78.615,86.032,buy,buy,buy
2013-11-08,84.48,62.62855,76.4448,79.1385,86.252,buy,buy,buy
2013-11-11,85.02,62.82115,76.6658,79.639,85.612,buy,buy,buy
2013-11-12,84.9,63.01615,76.8874,80.1905,84.978,buy,buy,buy
2013-11-13,87.49,63.226,77.1424,80.815,85.154,buy,buy,buy
2013-11-14,89.18,63.4405,77.4326,81.637,86.214,buy,buy,buy
2013-11-15,87.77,63.64785,77.7058,82.432,86.872,buy,buy,buy
2013-11-18,87.42,63.85675,77.9642,83.0975,87.352,buy,buy,buy
2013-11-19,87.51,64.0601,78.262,83.698,87.874,buy,buy,buy
2013-11-20,87.13,64.26075,78.5288,84.294,87.802,buy,buy,buy
2013-11-21,87.27,64.46285,78.7844,84.915,87.42,buy,buy,buy
2013-11-22,87.4,64.66475,79.076,85.436,87.346,buy,buy,buy
2013-11-25,86.61,64.86665,79.3562,85.877,87.184,buy,buy,buy
2013-11-26,87.38,65.07025,79.6452,86.133,87.158,buy,buy,buy
2013-11-27,88.31,65.2773,79.933,86.5375,87.394,buy,buy,buy
2013-11-29,88.32,65.50115,80.214,86.8175,87.604,buy,buy,buy
2013-12-02,87.54,65.71675,80.4624,87.0255,87.632,buy,buy,buy
2013-12-03,85.92,65.92875,80.6948,86.9105,87.494,buy,buy,hold
2013-12-04,85.13,66.1406,80.8914,86.7635,87.044,buy,buy,hold
2013-12-05,85.54,66.3536,81.1066,86.71,86.49,buy,buy,sell
2013-12-06,85.61,66.5624,81.3128,86.7965,85.948,buy,buy,sell
