Date,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
2012-12-31,16.39,,,,,hold,hold,hold
2013-01-02,16.86,,,,,hold,hold,hold
2013-01-03,16.85,,,,,hold,hold,hold
2013-01-04,17.05,,,,,hold,hold,hold
2013-01-07,17.01,,,,16.832,hold,hold,hold
2013-01-08,16.96,,,,16.946,hold,hold,hold
2013-01-09,16.94,,,,16.962,hold,hold,hold
2013-01-10,17.15,,,,17.022,hold,hold,hold
2013-01-11,17.11,,,,17.034,hold,hold,hold
2013-01-14,17.06,,,,17.044,hold,hold,hold
2013-01-15,17.13,,,,17.078,hold,hold,hold
2013-01-16,17.14,,,,17.118,hold,hold,hold
2013-01-17,17.13,,,,17.114,hold,hold,hold
2013-01-18,17.15,,,,17.122,hold,hold,hold
2013-01-22,17.31,,,,17.172,hold,hold,hold
2013-01-23,17.3,,,,17.206,hold,hold,hold
2013-01-24,17.39,,,,17.256,hold,hold,hold
2013-01-25,17.47,,,,17.324,hold,hold,hold
2013-01-28,17.4,,,,17.374,hold,hold,hold
2013-01-29,17.47,,,17.1135,17.406,hold,hold,buy
2013-01-30,17.39,,,17.1635,17.424,hold,hold,buy
2013-01-31,17.38,,,17.1895,17.422,hold,hold,buy
2013-02-01,17.61,,,17.2275,17.45,hold,hold,buy
2013-02-04,17.41,,,17.2455,17.452,hold,hold,buy
2013-02-05,17.58,,,17.274,17.474,hold,hold,buy
2013-02-06,17.61,,,17.3065,17.518,hold,hold,buy
2013-02-07,17.56,,,17.3375,17.554,hold,hold,buy
2013-02-08,17.6,,,17.36,17.552,hold,hold,buy
2013-02-11,17.68,,,17.3885,17.606,hold,hold,buy
2013-02-12,17.82,,,17.4265,17.654,hold,hold,buy
2013-02-13,17.78,,,17.459,17.688,hold,hold,buy
2013-02-14,17.84,,,17.494,17.744,hold,hold,buy
2013-02-15,17.76,,,17.5255,17.776,hold,hold,buy
2013-02-19,17.93,,,17.5645,17.826,hold,hold,buy
2013-02-20,17.66,,,17.582,17.794,hold,hold,buy
2013-02-21,17.52,,,17.593,17.742,hold,hold,hold
2013-02-22,17.74,,,17.6105,17.722,hold,hold,buy
2013-02-25,17.26,,,17.6,17.622,hold,hold,hold
2013-02-26,17.35,,,17.5975,17.506,hold,hold,sell
2013-02-27,17.62,,,17.605,17.498,hold,hold,hold
2013-02-28,17.59,,,17.615,17.512,hold,hold,sell
2013-03-01,17.64,,,17.628,17.492,hold,hold,hold
2013-03-04,17.79,,,17.637,17.598,hold,hold,hold
2013-03-05,17.94,,,17.6635,17.716,hold,hold,buy
2013-03-06,18.06,,,17.6875,17.804,hold,hold,buy
2013-03-07,18.19,,,17.7165,17.924,hold,hold,buy
2013-03-08,18.24,,,17.7505,18.044,hold,hold,buy
2013-03-11,18.38,,,17.7895,18.162,hold,hold,buy
2013-03-12,18.28,,,17.8195,18.23,hold,hold,buy
2013-03-13,18.33,,17.4962,17.845,18.284,hold,buy,buy
2013-03-14,18.45,,17.5374,17.8785,18.336,hold,buy,buy
2013-03-15,18.44,,17.569,17.9085,18.376,hold,buy,buy
2013-03-18,18.27,,17.5974,17.934,18.354,hold,buy,buy
2013-03-19,18.16,,17.6196,17.9455,18.33,hold,buy,buy
2013-03-20,18.29,,17.6452,17.977,18.322,hold,buy,buy
2013-03-21,18.07,,17.6674,18.0045,18.246,hold,buy,buy
2013-03-22,18.18,,17.6922,18.0265,18.194,hold,buy,buy
2013-03-25,18.13,,17.7118,18.07,18.166,hold,buy,buy
2013-03-26,18.24,,17.7344,18.1145,18.182,hold,buy,buy
2013-03-27,18.16,,17.7564,18.1415,18.156,hold,buy,buy
2013-03-28,18.21,,17.778,18.1725,18.184,hold,buy,buy
2013-04-01,18.12,,17.7976,18.1965,18.172,hold,buy,sell
2013-04-02,18.22,,17.8194,18.218,18.19,hold,buy,hold
2013-04-03,17.92,,17.8348,18.217,18.126,hold,buy,sell
2013-04-04,18.08,,17.8502,18.218,18.11,hold,buy,sell
2013-04-05,18.03,,17.8648,18.21,18.074,hold,buy,sell
2013-04-08,18.21,,17.8812,18.2085,18.092,hold,buy,hold
2013-04-09,18.26,,17.897,18.2025,18.1,hold,buy,hold
2013-04-10,18.5,,17.919,18.2135,18.216,hold,buy,buy
2013-04-11,18.55,,17.9406,18.2245,18.31,hold,buy,buy
2013-04-12,18.47,,17.9622,18.2255,18.398,hold,buy,buy
2013-04-15,18.08,,17.9762,18.2075,18.372,hold,buy,hold
2013-04-16,18.36,,17.9912,18.212,18.392,hold,buy,buy
2013-04-17,18.02,,18.0034,18.205,18.296,hold,buy,hold
2013-04-18,17.83,,18.0084,18.182,18.152,hold,hold,sell
2013-04-19,18.08,,18.0178,18.1825,18.074,hold,buy,sell
2013-04-22,18.1,,18.0286,18.1785,18.078,hold,buy,sell
2013-04-23,18.42,,18.045,18.193,18.09,hold,buy,hold
2013-04-24,18.54,,18.0622,18.208,18.194,hold,buy,hold
2013-04-25,18.65,,18.0788,18.2325,18.358,hold,buy,buy
2013-04-26,18.56,,18.0944,18.25,18.454,hold,buy,buy
2013-04-29,18.65,,18.1106,18.2765,18.564,hold,buy,buy
2013-04-30,18.7,,18.1294,18.3005,18.62,hold,buy,buy
2013-05-01,18.49,,18.1406,18.329,18.61,hold,buy,buy
2013-05-02,18.65,,18.1604,18.3575,18.61,hold,buy,buy
2013-05-03,18.85,,18.187,18.3985,18.668,hold,buy,buy
2013-05-06,19.05,,18.2132,18.4405,18.748,hold,buy,buy
2013-05-07,19.15,,18.251,18.485,18.838,hold,buy,buy
2013-05-08,19.3,,18.29,18.525,19.0,hold,buy,buy
2013-05-09,19.17,,18.321,18.556,19.104,hold,buy,buy
2013-05-10,19.25,,18.3542,18.595,19.184,hold,buy,buy
2013-05-13,19.31,,18.3876,18.6565,19.236,hold,buy,buy
2013-05-14,19.64,,18.4246,18.7205,19.334,hold,buy,buy
2013-05-15,19.82,,18.4622,18.8105,19.438,hold,buy,buy
2013-05-16,19.69,,18.4948,18.9035,19.542,hold,buy,buy
2013-05-17,19.95,,18.53,18.997,19.682,hold,buy,buy
2013-05-20,19.99,,18.565,19.0915,19.818,hold,buy,buy
2013-05-21,20.04,,18.5982,19.1725,19.898,hold,buy,buy
2013-05-22,19.83,,18.6292,19.237,19.9,hold,buy,buy
2013-05-23,19.71,,18.6568,19.29,19.904,hold,buy,buy
2013-05-24,19.73,,18.6824,19.3485,19.86,hold,buy,buy
2013-05-28,19.93,,18.7122,19.4125,19.848,hold,buy,buy
2013-05-29,19.93,,18.7454,19.474,19.826,hold,buy,buy
2013-05-30,20.17,,18.7856,19.558,19.894,hold,buy,buy
2013-05-31,19.84,,18.8166,19.6175,19.92,hold,buy,buy
2013-06-03,19.86,,18.8524,19.668,19.946,hold,buy,buy
2013-06-04,19.68,,18.8824,19.6995,19.896,hold,buy,hold
2013-06-05,19.36,,18.907,19.71,19.782,hold,buy,hold
2013-06-06,19.63,,18.9348,19.7265,19.674,hold,buy,sell
2013-06-07,19.97,,18.971,19.7665,19.7,hold,buy,hold
2013-06-10,19.98,,19.0064,19.803,19.724,hold,buy,hold
2013-06-11,19.65,,19.037,19.82,19.718,hold,buy,sell
2013-06-12,19.44,,19.0614,19.81,19.734,hold,buy,sell
2013-06-13,19.8,,19.099,19.809,19.768,hold,buy,sell
2013-06-14,19.55,,19.1284,19.802,19.684,hold,buy,sell
2013-06-17,19.74,,19.1626,19.7915,19.636,hold,buy,sell
2013-06-18,19.86,,19.1956,19.785,19.678,hold,buy,hold
2013-06-19,19.6,,19.2224,19.763,19.71,hold,buy,sell
2013-06-20,19.18,,19.236,19.7305,19.586,hold,hold,sell
2013-06-21,19.12,,19.2474,19.701,19.5,hold,hold,sell
2013-06-24,18.78,,19.2536,19.6535,19.308,hold,hold,sell
2013-06-25,19.12,,19.2744,19.613,19.16,hold,hold,sell
2013-06-26,19.32,,19.2936,19.5825,19.104,hold,buy,sell
2013-06-27,19.57,,19.3246,19.5525,19.182,hold,buy,hold
2013-06-28,19.44,,19.3568,19.5325,19.246,hold,buy,sell
2013-07-01,19.51,,19.3854,19.515,19.392,hold,buy,sell
2013-07-02,19.53,,19.414,19.5075,19.474,hold,buy,hold
2013-07-03,19.47,,19.435,19.513,19.504,hold,buy,sell
2013-07-05,19.82,,19.4606,19.5225,19.554,hold,buy,buy
2013-07-08,19.96,,19.4868,19.522,19.658,hold,buy,buy
2013-07-09,20.14,,19.5184,19.53,19.784,hold,buy,buy
2013-07-10,20.02,,19.5458,19.5485,19.882,hold,buy,buy
2013-07-11,20.21,,19.576,19.587,20.03,hold,buy,buy
2013-07-12,20.35,,19.6132,19.6145,20.136,hold,buy,buy
2013-07-15,20.44,,19.649,19.659,20.232,hold,buy,buy
2013-07-16,20.36,,19.6792,19.69,20.276,hold,buy,buy
2013-07-17,20.44,,19.707,19.719,20.36,hold,buy,buy
2013-07-18,20.72,,19.7384,19.775,20.462,hold,buy,buy
2013-07-19,20.73,,19.767,19.8525,20.538,hold,buy,buy
2013-07-22,20.87,,19.801,19.94,20.624,hold,buy,buy
2013-07-23,20.79,,19.8318,20.0405,20.71,hold,buy,buy
2013-07-24,20.64,,19.8584,20.1165,20.75,hold,buy,buy
2013-07-25,20.66,,19.8788,20.1835,20.738,hold,buy,buy
2013-07-26,20.64,,19.8952,20.237,20.72,hold,buy,buy
2013-07-29,20.49,,19.9112,20.2895,20.644,hold,buy,buy
2013-07-30,20.48,,19.9218,20.338,20.582,hold,buy,buy
2013-07-31,20.49,,19.9318,20.386,20.552,hold,buy,buy
2013-08-01,20.82,,19.9474,20.4535,20.584,hold,buy,buy
2013-08-02,20.81,,19.967,20.503,20.618,hold,buy,buy
2013-08-05,20.76,,19.988,20.543,20.672,hold,buy,buy
2013-08-06,20.58,,20.005,20.565,20.692,hold,buy,buy
2013-08-07,20.44,,20.0152,20.586,20.682,hold,buy,hold
2013-08-08,20.49,,20.0264,20.6,20.616,hold,buy,hold
2013-08-09,20.42,,20.0314,20.6035,20.538,hold,buy,sell
2013-08-12,20.34,,20.0414,20.5985,20.454,hold,buy,sell
2013-08-13,20.44,,20.053,20.6025,20.426,hold,buy,sell
2013-08-14,20.36,,20.0666,20.5985,20.41,hold,buy,sell
2013-08-15,20.06,,20.0806,20.5655,20.324,hold,hold,sell
2013-08-16,20.02,,20.0884,20.53,20.244,hold,hold,sell
2013-08-19,19.76,,20.0842,20.4745,20.128,hold,hold,sell
2013-08-20,19.95,,20.0836,20.4325,20.03,hold,hold,sell
2013-08-21,19.81,,20.0868,20.391,19.92,hold,hold,sell
2013-08-22,20.04,,20.0988,20.36,19.916,hold,hold,sell
2013-08-23,20.06,,20.104,20.331,19.924,hold,hold,sell
2013-08-26,19.94,,20.1118,20.3035,19.96,hold,hold,sell
2013-08-27,19.45,,20.106,20.252,19.86,hold,hold,sell
2013-08-28,19.48,,20.0984,20.2015,19.794,hold,hold,sell
2013-08-29,19.53,,20.097,20.137,19.692,hold,hold,sell
2013-08-30,19.44,,20.1022,20.0685,19.568,hold,sell,sell
2013-09-03,19.6,,20.1118,20.0105,19.5,hold,sell,sell
2013-09-04,19.76,,20.1314,19.9695,19.562,hold,sell,sell
2013-09-05,19.8,,20.145,19.9375,19.626,hold,sell,sell
2013-09-06,19.8,,20.1546,19.903,19.68,hold,sell,sell
2013-09-09,20.03,,20.1638,19.8835,19.798,hold,sell,hold
2013-09-10,20.26,,20.1802,19.8795,19.93,hold,hold,buy
